title,authors,abstract,published_date,year,journal,url,pdf_url,categories,citation,citation_count,search_term,authors_raw,doi
Analisis yuridis terhadap kedudukan kecerdasan buatan atau artificial intelligence sebagai subjek hukum pada hukum positif Indonesia,F Jaya; W Goh,… obyek hukum melainkan Kecerdasan Buatan dapat diakui … Kecerdasan Buatan yang akan menjadi salah satu bagian dalam kehidupan bermasyarakat pada hukum positif Indonesia …,2021,2021,Supremasi Hukum,https://ejournal.unis.ac.id/index.php/JSH/article/view/1287,,Supremasi Hukum,F Jaya & W Goh. (2021). Analisis yuridis terhadap kedudukan kecerdasan buatan atau artificial intelligence sebagai subjek hukum pada hukum positif Indonesia. *Supremasi Hukum*. https://ejournal.unis.ac.id/index.php/JSH/article/view/1287,0,kecerdasan buatan,"F Jaya, W Goh - Supremasi Hukum, 2021 - ejournal.unis.ac.id",
Kecerdasan Buatan dalam Konteks Kurikulum Merdeka pada Jenjang Pendidikan Dasar dan Menengah: Membangun Keterampilan Menuju Indonesia Emas 2045,S Suharyo; S Subyantoro; R Pristiwati,… Indonesia Emas 2045. Tujuan penelitian ini adalah menjelaskan pengaruh kecerdasan buatan … lembaga pendidikan dalam mengintegrasikan kecerdasan buatan ke dalam proses …,2024,2024,Humanika,https://ejournal.undip.ac.id/index.php/humanika/article/view/60563,https://ejournal.undip.ac.id/index.php/humanika/article/download/60563/25311,Humanika,"S Suharyo, S Subyantoro, & R Pristiwati. (2024). Kecerdasan Buatan dalam Konteks Kurikulum Merdeka pada Jenjang Pendidikan Dasar dan Menengah: Membangun Keterampilan Menuju Indonesia Emas 2045. *Humanika*. https://ejournal.undip.ac.id/index.php/humanika/article/view/60563",0,kecerdasan buatan,"S Suharyo, S Subyantoro, R Pristiwati - Humanika, 2024 - ejournal.undip.ac.id",
… PENYALAHGUNAAN DEEPFAKES DALAM TEKNOLOGI KECERDASAN BUATAN PADA KONTEN PORNOGRAFI BERDASARKAN HUKUM POSITIF INDONESIA.,MF Faathurrahman…,"… kecerdasan buatan (artificial intelligence) di Indonesia, beserta penyalahgunaan deepfakes dalam penggunaan teknologi kecerdasan buatan … berdasarkan hukum positif Indonesia. …",2022,2022,Jurnal Indonesia Sosial …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=27236609&AN=160917956&h=ep0gvFBdWkI3Te4x997p%2B%2BUrhgR4zF4U86lA7JD6Zr3wlmridLcTjiIUwqBg%2BUR3ItRDXqmn7MjS%2F3Q7QDohAQ%3D%3D&crl=c,,Jurnal Indonesia Sosial …,MF Faathurrahman…. (2022). … PENYALAHGUNAAN DEEPFAKES DALAM TEKNOLOGI KECERDASAN BUATAN PADA KONTEN PORNOGRAFI BERDASARKAN HUKUM POSITIF INDONESIA.. *Jurnal Indonesia Sosial …*. https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=27236609&AN=160917956&h=ep0gvFBdWkI3Te4x997p%2B%2BUrhgR4zF4U86lA7JD6Zr3wlmridLcTjiIUwqBg%2BUR3ItRDXqmn7MjS%2F3Q7QDohAQ%3D%3D&crl=c,0,kecerdasan buatan,"MF Faathurrahman… - Jurnal Indonesia Sosial …, 2022 - search.ebscohost.com",
Optimasi pelayanan nasabah Bank Syariah Indonesia melalui penggunaan kecerdasan buatan,AG Garbo; HR Latifah,… pada Bank Syariah Indonesia dengan memanfaatkan kecerdasan buatan. Penelitian dilakukan … efektivitas kecerdasan buatan terhadap kinerja layanan di Bank Syariah Indonesia. Isu …,2024,2024,Jurnal Masharif Al,https://journal.um-surabaya.ac.id/Mas/article/view/22128,https://journal.um-surabaya.ac.id/Mas/article/download/22128/7571,Jurnal Masharif Al,AG Garbo & HR Latifah. (2024). Optimasi pelayanan nasabah Bank Syariah Indonesia melalui penggunaan kecerdasan buatan. *Jurnal Masharif Al*. https://journal.um-surabaya.ac.id/Mas/article/view/22128,0,kecerdasan buatan,"AG Garbo, HR Latifah - Jurnal Masharif Al-Syariah …, 2024 - journal.um-surabaya.ac.id",
Teknologi kecerdasan buatan dan pentingnya beradaptasi dalam cara belajar,B Hartono,… Teknologi kecerdasan buatan memiliki potensi besar untuk mentransformasi dunia … teknologi kecerdasan buatan telah membuka peluang baru dalam dunia pendidikan di Indonesia. …,2024,2024,Buletin Edukasi Indonesia,http://journal.iistr.org/index.php/BEI/article/view/602,http://journal.iistr.org/index.php/BEI/article/download/602/479,Buletin Edukasi Indonesia,B Hartono. (2024). Teknologi kecerdasan buatan dan pentingnya beradaptasi dalam cara belajar. *Buletin Edukasi Indonesia*. http://journal.iistr.org/index.php/BEI/article/view/602,0,kecerdasan buatan,"B Hartono - Buletin Edukasi Indonesia, 2024 - journal.iistr.org",
Analisis Sentimen Terhadap Kemajuan Kecerdasan Buatan di Indonesia Menggunakan BERT dan RoBERTa,NAR Putri; A ARDIANSYAH,"… buatan (AI) dalam beberapa tahun belakang menjadi sesuatu yang sering dibahas dikalangan masyarakat di Indonesia. … untuk labeling dataset berbahasa Indonesia. Selain itu, training …",2023,2023,Jurnal Sains dan Informatika,http://repository.umkla.ac.id/3306/,http://repository.umkla.ac.id/3306/1/ANALISIS%20SENTIMEN.pdf,Jurnal Sains dan Informatika,NAR Putri & A ARDIANSYAH. (2023). Analisis Sentimen Terhadap Kemajuan Kecerdasan Buatan di Indonesia Menggunakan BERT dan RoBERTa. *Jurnal Sains dan Informatika*. http://repository.umkla.ac.id/3306/,0,kecerdasan buatan,"NAR Putri, A ARDIANSYAH - Jurnal Sains dan Informatika, 2023 - repository.umkla.ac.id",
Implementasi Sistem Basis Data pada Sektor Pendidikan di Indonesia,A Rahmawita; TA Fahani; R Rohima…,"… Operational Database Jenis database ini dapat menyimpan informasi … database subjek (SADB), database acara atau database … External Database Database ini dapat memberikan jalur …",2023,2023,… : Jurnal Sains dan …,https://www.journal.literasisains.id/index.php/insologi/article/view/2287,https://www.journal.literasisains.id/index.php/insologi/article/download/2287/1144,… : Jurnal Sains dan …,"A Rahmawita, TA Fahani, & R Rohima…. (2023). Implementasi Sistem Basis Data pada Sektor Pendidikan di Indonesia. *… : Jurnal Sains dan …*. https://www.journal.literasisains.id/index.php/insologi/article/view/2287",0,database,"A Rahmawita, TA Fahani, R Rohima… - … : Jurnal Sains dan …, 2023 - journal.literasisains.id",
"Bibliometric Analysis of Journals, Authors, and Topics Related to Halal Tourism Listed in the Database Scopus by Indonesian Authors",R Masâ; K Hamim,"… penulis Indonesia dan diterbitkan dalam jurnal di database … 65 artikel oleh penulis Indonesia yang terkait dengan pariwisata … Untuk menjelaskan trend penulis Indonesia dari artikel, …",2022,2022,Khazanah Pendidikan Islam,http://journal.uinsgd.ac.id/index.php/kp/article/view/19677,https://journal.uinsgd.ac.id/index.php/kp/article/download/19677/7522,Khazanah Pendidikan Islam,"R Masâ & K Hamim. (2022). Bibliometric Analysis of Journals, Authors, and Topics Related to Halal Tourism Listed in the Database Scopus by Indonesian Authors. *Khazanah Pendidikan Islam*. http://journal.uinsgd.ac.id/index.php/kp/article/view/19677",0,database,"R Masâ, K Hamim - Khazanah Pendidikan Islam, 2022 - journal.uinsgd.ac.id",
Pemodelan Pengetahuan Graph Database Untuk Jejaring Penelitian Kesehatan di Indonesia,YY Sahria; DH Fudholi,… in Indonesia. This research proposes a knowledge modeling with Neo4j graphic database to … public for health research network researchers in Indonesia. The results of research testing …,2020,2020,Jurnal Media Informatika …,https://pdfs.semanticscholar.org/19b6/9a0d5b1985813084232f30cd180edb0cafcb.pdf,https://pdfs.semanticscholar.org/19b6/9a0d5b1985813084232f30cd180edb0cafcb.pdf,Jurnal Media Informatika …,YY Sahria & DH Fudholi. (2020). Pemodelan Pengetahuan Graph Database Untuk Jejaring Penelitian Kesehatan di Indonesia. *Jurnal Media Informatika …*. https://pdfs.semanticscholar.org/19b6/9a0d5b1985813084232f30cd180edb0cafcb.pdf,0,database,"YY Sahria, DH Fudholi - Jurnal Media Informatika …, 2020 - pdfs.semanticscholar.org",
Perancangan Aplikasi Retensi Data Pada Database MySQL (Studi Kasus: PT. Telkomsigma),NE Alfia,… Retensi menurut kamus besar bahasa indonesia adalah penyimpanan atau penahanan. Ratna mendefinisikan bertahannya materi yang dipelajari dalam memori dan tidak dilupakan …,2020,2020,Jurnal Sistem Informasi dan E,https://jurnal.ikhafi.or.id/index.php/jusibi/article/view/181,https://jurnal.ikhafi.or.id/index.php/jusibi/article/download/181/122,Jurnal Sistem Informasi dan E,NE Alfia. (2020). Perancangan Aplikasi Retensi Data Pada Database MySQL (Studi Kasus: PT. Telkomsigma). *Jurnal Sistem Informasi dan E*. https://jurnal.ikhafi.or.id/index.php/jusibi/article/view/181,0,database,"NE Alfia - Jurnal Sistem Informasi dan E-Bisnis, 2020 - jurnal.ikhafi.or.id",
